CNPJ_Companhia;Nome_Companhia;Codigo_CVM;Data_Referencia;Categoria;Tipo;Especie;Assunto;Data_Entrega;Tipo_Apresentacao;Protocolo_Entrega;Versao;Link_Download
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2026-06-30;Assembleia;AGE;Boletim de voto a distância;;2026-05-29;AP - Apresentação;024228IPE300620260169940631-54;1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1528951&numSequencia=1053657&numVersao=1
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2026-06-30;Assembleia;AGO;Boletim de voto a distância;;2026-05-29;AP - Apresentação;024228IPE300620260174973680-44;1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1528952&numSequencia=1053658&numVersao=1
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2026-06-30;Assembleia;AGO/E;Ata;Alteração do Estatuto Social da Companhia||Aumento de Capital||Autorizar a administração da Companhia a tomar todas as providências que se fizerem necessárias à efetivação das matérias aprovadas, nos termos da legislação vigente||Consolidação do Estatuto Social da Companhia||Destinação dos Resultados||Eleição de Membros dos Conselhos de Administração e Fiscal||Fixação do número de membros do Conselho de Administração da Companhia para o próximo mandato||Instalação do Conselho Fiscal da Companhia||Orçamento de Capital||Remuneração dos Administradores e Conselheiros||Tomada de Contas-Votação do Relatório da Administração e das Demonstrações Financeiras;2026-06-30;AP - Apresentação;024228IPE300620260105360401-12;1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1540122&numSequencia=1064828&numVersao=1
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2026-06-30;Assembleia;AGO/E;Edital de Convocação;Destinação dos Resultados||Eleição de Membros dos Conselhos de Administração e Fiscal||Fixação da remuneração global dos administradores, dos membros dos comitês de assessoramento ao Conselho de Administração da Companhia, bem como dos membros do Conselho Fiscal, caso instalado||Fixação do número de membros do Conselho de Administração da Companhia para o próximo mandato||Instalação do Conselho Fiscal da Companhia||Orçamento de Capital para o exercício social a se encerrar em 28 de fevereiro de 2027||Tomada de Contas-Votação do Relatório da Administração e das Demonstrações Financeiras;2026-05-29;AP - Apresentação;024228IPE300620260122196044-77;1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1528942&numSequencia=1053648&numVersao=1
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2026-06-30;Assembleia;AGO/E;Manual para participação;;2026-05-29;AP - Apresentação;024228IPE300620260191155257-07;1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1528944&numSequencia=1053650&numVersao=1
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2026-06-30;Assembleia;AGO/E;Mapa consolidado de voto a distância;Mapa Sintético Consolidado;2026-06-29;AP - Apresentação;024228IPE300620260172600009-28;1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1539217&numSequencia=1063923&numVersao=1
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2026-06-30;Assembleia;AGO/E;Mapa final de votação detalhado;Mapa Final de Votação Detalhado - AGOE;2026-06-30;AP - Apresentação;024228IPE300620260121297286-33;1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1540124&numSequencia=1064830&numVersao=1
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2026-06-30;Assembleia;AGO/E;Proposta da Administração;Autorizar a administração da Companhia a tomar todas as providencias que se fizerem necessárias à efetivação das matérias aprovadas, nos termos da legislação vigente||Deliberar sobre a alteração do Estatuto Social da Companhia, a fim de refletir a alteração do Artigo 5º do Estatuto Social||Deliberar sobre a consolidação do Estatuto Social da Companhia, em razão da alteração do Artigo 5º||Deliberar sobre o aumento do capital social da Companhia, mediante a capitalização da reserva de incentivo fiscal, sem a emissão de novas ações.||Destinação do resultado do exercício social encerrado em 28 de fevereiro de 2026||Eleição do Conselho de Administração da Companhia||Eleição dos membros efetivos e suplentes para compor o Conselho Fiscal da Companhia||Fixação da remuneração global dos administradores, dos membros dos comitês de assessoramento ao Conselho de Administração da Companhia, bem como dos membros do Conselho Fiscal, caso instalado||Fixação do número de membros do Conselho de Administração da Companhia para o próximo mandato||Instalação do Conselho Fiscal da Companhia||Orçamento de Capital para o exercício social a se encerrar em 28 de fevereiro de 2027||Tomar as contas dos administradores, examinar, discutir e votar o Relatório da Administração e as Demonstrações Financeiras da Companhia;2026-05-29;AP - Apresentação;024228IPE300620260139457604-55;1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1528943&numSequencia=1053649&numVersao=1
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2026-06-30;Assembleia;AGO/E;Proposta da Administração;Autorizar a administração da Companhia a tomar todas as providencias que se fizerem necessárias à efetivação das matérias aprovadas, nos termos da legislação vigente||Deliberar sobre a alteração do Estatuto Social da Companhia, a fim de refletir a alteração do Artigo 5º do Estatuto Social||Deliberar sobre a consolidação do Estatuto Social da Companhia, em razão da alteração do Artigo 5º||Deliberar sobre o aumento do capital social da Companhia, mediante a capitalização da reserva de incentivo fiscal, sem a emissão de novas ações.||Destinação do resultado do exercício social encerrado em 28 de fevereiro de 2026||Eleição do Conselho de Administração da Companhia||Eleição dos membros efetivos e suplentes para compor o Conselho Fiscal da Companhia||Fixação da remuneração global dos administradores, dos membros dos comitês de assessoramento ao Conselho de Administração da Companhia, bem como dos membros do Conselho Fiscal, caso instalado||Fixação do número de membros do Conselho de Administração da Companhia para o próximo mandato||Instalação do Conselho Fiscal da Companhia||Orçamento de Capital para o exercício social a se encerrar em 28 de fevereiro de 2027||Tomar as contas dos administradores, examinar, discutir e votar o Relatório da Administração e as Demonstrações Financeiras da Companhia;2026-06-11;RE - Reapresentação Espontânea;024228IPE300620260217777344-55;2;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1533465&numSequencia=1058171&numVersao=2
64.904.295/0001-03;CAMIL ALIMENTOS S/A;24228;2026-06-30;Aviso aos Acionistas;Data prevista para a assembleia;;Data AGO 2026;2026-03-05;AP - Apresentação;024228IPE300620260182265792-04;1;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1486060&numSequencia=1010766&numVersao=1
